品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,8,3/3,,NVD and CISA KEV temporal and severity reconciliation audit,CVE条目状态与变更史,可检索档案库+详情页,漏洞(CVE)记录,National Vulnerability Database (NVD),Cybersecurity vu,cn-all-remaining-1224-25c363a2,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,9,3/3,,药品短缺与 NDC 供应谱系审计（FDA 2026）,openFDA药品目录审计,可检索档案库+详情页,药品短缺/NDC目录记录,openFDA,监管数据工程 / 医院药品供应保,cn-all-remaining-1246-c333a712,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,10,3/3,,FDIC 与 OCC 银行牌照监管边界及机构身份核验,机构牌照检索+详情页,可检索档案库+详情页,银行牌照与机构注册记录,Office of the Comptroller of the Currency (OCC),金融监管 / 银行牌照 / 法律,cn-all-remaining-1259-7713fc3c,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,11,3/3,,NPS 国家历史名录登记事件、状态快照与空间谱系审计,登记状态变更史,主体档案+关联事件时间线,NPS National Register Information System,"NPS National Register Information System ""Everything"" File",文化遗产登记治理 / 国家历史名,cn-all-remaining-1150-aa72ec91,
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,12,人工改判,,构建 SEC Inline XBRL 申报审计与 Company Facts 对账数据管道,SEC申报主体详情审计,主体档案+关联事件时间线,SEC XBRL申报facts/Company Facts记录,U.S. Securities and Exchange Commission (SEC),金融科技 / 资本市场数据工程 ,cn-all-remaining-0204-96586aa4,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,13,人工改判,,构建美联储 2024 压力测试与资本要求修订调和审计,主体检索+详情+修订血缘,主体档案+关联事件时间线,银行资本要求与压力测试记录,Federal Reserve,银行金融监管 / 压力测试 / ,cn-all-remaining-1164-4f0e142d,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,14,人工改判,,financial_report_risk_warning,"财报披露检索,类EDGAR",,上市公司信息披露平台(巨潮资讯网/SEC EDGAR),,量化金融,cn-all-remaining-0009-3a0514d6,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,15,人工改判,,A2研发办公楼二星级绿色建筑送审前预评估及证据链闭环审查,绿色建筑备案证据链,可检索档案库+详情页,住建部绿色建筑评价标识备案平台,,建筑、测绘与规划—绿色建筑评估师,cn-all-remaining-0701-49b7d817,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,16,人工改判,,长三角某研发办公楼绿色建筑二星级申报复核,申报主体+详情+变更史,可检索档案库+详情页,绿色建筑评价标识申报系统,,建筑、测绘与规划、绿色建筑评估师,cn-all-remaining-0940-94b2dc6a,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,17,人工改判,,厄贝沙坦片上市许可申请申报前资料核查与放行评估,申报资料版本核查,可检索档案库+详情页,药品注册信息管理系统(RIMS/eQMS),,医疗卫生、药品注册专员（制药企业,cn-all-remaining-0953-9271adc9,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,18,人工改判,,构建 Wikimedia 非营利组织税务、资助与关联方尽调审计,免税资格状态登记,主体档案+关联事件时间线,IRS/慈善机构信息披露平台(如ProPublica Nonprofit Explorer),Wikimedia Foundation,非营利组织税务与财务尽调 / F,cn-all-remaining-1098-eff835fa,退回 regulatory-registry：无参照站/无记录级数据，disposition: file，不进骨架适配流程
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,19,人工改判,dataset-repository,NASA CNEOS 与 ESA NEOCC 近地天体撞击风险联合审计,撞击体批次+风险QC,批次-样品-检验/QC记录(LIMS/MES),近地天体撞击风险记录(Sentry/NEOCC虚拟撞击体与风险名单),NASA/JPL CNEOS Sentry,科学计算 / 行星防御 / 风险,cn-all-remaining-1190-ee12ce0a,dataset-repository→regulatory-registry：CNEOS/NEOCC 风险名录逐条对照
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,20,人工改判,gov-statistics-portal,NCUA 2024 年信用合作社资本充足与复杂机构分类生命周期审计,季度批量统计下载,单表统计/观测数据下载门户,信用社季度Call Report记录,National Credit Union Administration (NCUA),金融监管 / 信用合作社审慎资本,cn-all-remaining-1182-3a8e8666,gov-statistics-portal→regulatory-registry：NCUA 季度 Call Report 机构申报
regulatory-registry,备案与合规申报检索库,FDA Orange Book / ECHA,21,人工改判,gov-statistics-portal,2023 Delaware HMDA Regulation C Release-Control Audit,贷款披露查询导出,单表统计/观测数据下载门户,FFIEC/CFPB HMDA Platform,HMDA Modified LAR,金融监管 / HMDA 合规数据,cn-all-remaining-1143-0899ebce,gov-statistics-portal→regulatory-registry：HMDA LAR 机构申报披露
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,1,2/2,,2020 Magna真实地震序列完整性、b值、Omori衰减与空间结构联合分析,USGS地震目录检索导出,单表统计/观测数据下载门户,地震事件记录（位置/震级/质量）,USGS FDSN Event Web Service,科学类、地球科学研究人员,cn-all-remaining-0135-8319cf05,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,2,2/2,,区域地震 P、S 到时联合定位,台站P/S到时拾取定位,批次-样品-检验/QC记录(LIMS/MES),地震台站与P/S到时拾取记录,,科学类、地球科学研究人员,cn-all-remaining-0160-5d376197,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,3,2/2,,真实 SKS 剪切波分裂测量与上地幔各向异性评估,台站远震波形事件目录,单表统计/观测数据下载门户,远震事件波形目录条目,IU.COLA,科学类、地球科学研究人员,cn-all-remaining-0163-f216c49f,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,4,2/2,,Ridgecrest 主震后地震簇稳健双差重定位,余震目录台站重定位,批次-样品-检验/QC记录(LIMS/MES),余震目录事件与台站记录,Ridgecrest earthquake sequence catalog,科学类、地球科学研究人员,cn-all-remaining-0166-b4934700,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,5,2/2,,构建 NASA DONKI / NOAA SWPC 2024 年 5 月空间天气事件血缘与归因审计,跨机构事件目录归因,可检索档案库+详情页,DONKI太空天气事件(耀斑/CME/磁暴),NASA DONKI,科学数据工程 / 太空天气 / ,cn-all-remaining-1173-7c23ef43,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,6,2/2,,真实远震三分量响应校正、坐标旋转与震相验证,IRIS/FDSN 台站波形事件,数据集/资料仓库详情页,IRIS/FDSN,IU.ANMO,科学类、地球科学研究人员,cn-all-remaining-0151-f7249cf5,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,7,2/2,,环境噪声HVSR场地共振评估,IRIS台站波形数据,数据集/资料仓库详情页,IRIS/FDSN(通用地震台网数据中心),,科学类、地球科学研究人员,cn-all-remaining-0158-341df0ea,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,8,2/2,,三分量连续波形响应校正、重采样与质量检查,FDSN台站波形数据,时序监测点/日志事件记录,WG.WCA13台网数据中心,WG.WCA13,地球物理学,cn-all-remaining-0303-a8e1cff9,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,9,2/2,,背景噪声 PPSD、独立谱回代与台站频段适用性评估,台站PPSD噪声分析,时序监测点/日志事件记录,WG.WCA13台网数据中心,WG.WCA13,地球物理学,cn-all-remaining-0304-cbead67f,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,10,2/2,,三分量环境噪声频率依赖极化与方向稳定性分析,台站三分量连续记录,时序监测点/日志事件记录,WG.WCA13台网数据中心,WG.WCA13,地球物理学,cn-all-remaining-0305-ea897654,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,11,2/3,geospatial-portal,Utah FORGE公开数据下载、三维速度模型重建与可视化,地震速度剖面模型重建,,Utah FORGE GDR,Utah FORGE,科学类、地球科学研究人员,cn-all-remaining-0122-af317fbc,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,12,3/3,,构建 USGS 2024 地震影响产品发布血缘与版本修订审计,地震事件与产品目录,可检索档案库+详情页,USGS地震事件与竞争产品(矩张量/ShakeMap/PAGER),USGS Earthquake Hazards Program,地震数据工程 / 自然灾害影响产,cn-all-remaining-0649-f4bed7ef,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,13,3/3,,北加州 Cloverdale M4.24 事件后目录流水线方法缺陷审计、完备震级复算与发布门槛核验,USGS地震目录事件检索,时序监测点/日志事件记录,地震目录事件记录,USGS Earthquake Hazards Program,地球科学、地震科学研究员）,cn-all-remaining-1126-ac0908b4,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,14,3/3,,Utah FORGE 井轨迹与压裂微震几何下载、清洗及三维可视化,井轨迹+微震事件目录,,Utah FORGE GDR,Utah FORGE,科学类、地球科学研究人员,cn-all-remaining-0119-59547d3b,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,15,3/3,,实测背景噪声互相关、经验格林函数收敛性与可解释性评估,IRIS台站波形数据,时序监测点/日志事件记录,IRIS/FDSN,,科学类、地球科学研究人员,cn-all-remaining-0194-b11424c0,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,16,3/3,,Parkfield 重复地震 DTW/MWCS 频率依赖速度变化复现与评估,台网重复地震波形,时序监测点/日志事件记录,IRIS/NCEDC,,科学类、地球科学研究人员,cn-all-remaining-0243-885c2ff8,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,17,3/3,,实测多分量 C3 高阶地震干涉算法复现与验证,台网多分量噪声波形,时序监测点/日志事件记录,IRIS/SCEDC(Anza台网),Anza Seismic Network,科学类、地球科学研究人员,cn-all-remaining-0245-a6640871,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,18,3/3,,IGS NYA2 多星座 RINEX-Kp 完整性审计,IGS台站观测文件,时序监测点/日志事件记录,IGS,IGS,卫星导航,cn-all-remaining-0255-b2e13f01,
seismic-datacenter,台站波形与事件目录,IRIS/FDSN Wilber,19,人工改判,dataset-repository,真实 GNSS 速度场质量控制与稳健二维应变率反演,MIDAS 站点速度产品页,数据集/资料仓库详情页,MIDAS GNSS速度产品（UNR Geodetic Laboratory）,MIDAS,科学类、地球科学研究人员,cn-all-remaining-0148-25afc0d0,dataset-repository→seismic-datacenter：MIDAS GNSS 速度场产品
lims,实验室信息管理 LIMS,LabKey Server,1,2/2,,三流域农药暴露与底栖无脊椎动物群落响应的多源数据质控、混合效应建模与敏感性分析,水样批次检验结果,批次-样品-检验/QC记录(LIMS/MES),水样/生物样采集批次与LC-MS/MS结果,,科学类、环境科学家、科研数据分析,cn-all-remaining-0421-9128c0d2,
lims,实验室信息管理 LIMS,LabKey Server,2,2/2,,河口湿地甲烷通量多批次校准、脉冲事件与年度预算审计,GC校准批次结果,批次-样品-检验/QC记录(LIMS/MES),GC校准批次与箱体通量采样记录,,科学类、环境科学与科研数据分析,cn-all-remaining-0423-6de57e18,
lims,实验室信息管理 LIMS,LabKey Server,3,2/2,,四批次TMT蛋白质组同位素校正、桥接归一化与差异通路复核,TMT批次检验结果,批次-样品-检验/QC记录(LIMS/MES),TMT批次肽段/通道强度结果记录,,科学类、生物学研究人员,cn-all-remaining-0429-bb30f48c,
lims,实验室信息管理 LIMS,LabKey Server,4,2/3,mes-batch-release,五层主体结构实测实量、资料证据链复核与整改销项自动核验,检验批-试块-复测同LIMS结构,批次-样品-检验/QC记录(LIMS/MES),实测实量记录/检验批与试块台账,,建筑、测绘与规划-质量员,cn-all-remaining-0763-7c2e7f10,
lims,实验室信息管理 LIMS,LabKey Server,5,2/3,mes-batch-release,CHO细胞补料分批培养批次一致性、过程偏差与收获窗口评估,批次+在线离线检测+QC,批次-样品-检验/QC记录(LIMS/MES),培养批次在线/离线检测记录,,科学类、生物工艺科学人员,cn-all-remaining-0794-37667882,
lims,实验室信息管理 LIMS,LabKey Server,6,3/3,,24个月稳定性统计复核与货架期建议,批次+检验+质控,批次-样品-检验/QC记录(LIMS/MES),稳定性检验批次与结果,,药学专业人员,cn-all-remaining-0221-2cf3a288,
lims,实验室信息管理 LIMS,LabKey Server,7,3/3,,电子连接器来料关键特性、外观缺陷与量具校准批次复核,批次检验+量具校准,批次-样品-检验/QC记录(LIMS/MES),来料检验批次与测量记录,,    工程类、质量工程师   ,cn-all-remaining-0407-b77013e8,
lims,实验室信息管理 LIMS,LabKey Server,8,3/3,,LX-217无菌冻干注射剂工艺验证、稳定性趋势、OOS/OOT调查与批次放行,批次HPLC检验记录,批次-样品-检验/QC记录(LIMS/MES),批次与HPLC检测记录,,医疗卫生、药学专业人员,cn-all-remaining-0446-824b7977,
lims,实验室信息管理 LIMS,LabKey Server,9,3/3,,真空熟制鸡胸肉冷藏腐败货架期建模与温度波动评估,批次-平板计数-QC典型LIMS结构,批次-样品-检验/QC记录(LIMS/MES),LIMS平板菌落计数记录,,科学类、食品科学研究人员,cn-all-remaining-0754-26345d25,
lims,实验室信息管理 LIMS,LabKey Server,10,3/3,,磷酸铁锂电芯一致性、模组快充热安全与循环寿命联合评审及量产放行判定,电芯批次测试+QC放行,批次-样品-检验/QC记录(LIMS/MES),电芯/模组测试与循环记录,,工程类、电池工程师,cn-all-remaining-0801-3012a7dc,
lims,实验室信息管理 LIMS,LabKey Server,11,3/3,,DQL-217 CIA大鼠治疗性药效复核与确认性研究剂量推荐,动物给药检测批次记录,批次-样品-检验/QC记录(LIMS/MES),动物给药与检测结果记录,,医疗卫生、药企药理专员,cn-all-remaining-0833-4b7ceef4,
lims,实验室信息管理 LIMS,LabKey Server,12,3/3,,TRX-217 28天重复给药毒性数据质控、毒代重算与申办方综合评估,动物毒理批次检验记录,批次-样品-检验/QC记录(LIMS/MES),动物毒理检测记录,,医疗卫生、药物非临床安全性评价（,cn-all-remaining-0835-9f5c41bb,
lims,实验室信息管理 LIMS,LabKey Server,13,3/3,,多中心定量检测方法的精密度、Deming比对与实验室聚类Bootstrap评价,跨实验室检测结果+质控,批次-样品-检验/QC记录(LIMS/MES),跨实验室检测结果记录,,科学类、统计学家,cn-all-remaining-0901-a1264e29,
lims,实验室信息管理 LIMS,LabKey Server,14,3/3,,冷藏熟制鸡胸肉气调包装货架期建模与包装方案筛选,批次样品+微生物理化检测,批次-样品-检验/QC记录(LIMS/MES),样品清单及微生物/理化/感官检测结果,,科学类、食品科学研究人员,cn-all-remaining-0928-d694ced9,
lims,实验室信息管理 LIMS,LabKey Server,15,3/3,,冷藏即食食品CCP杀菌、冷链暴露、微生物风险与召回放行判定,批次CCP微生物检验,批次-样品-检验/QC记录(LIMS/MES),批次CCP/冷链/检验记录,,食品与质量安全—食品安全工程师,cn-all-remaining-0942-65033b58,
lims,实验室信息管理 LIMS,LabKey Server,16,3/3,,植入式骨科接骨板疲劳寿命、加速老化与批次一致性联合评审及设计转移/上市放行判定,批次疲劳老化检验,批次-样品-检验/QC记录(LIMS/MES),工程批可靠性试验记录,,工程类、医疗器械可靠性工程师,cn-all-remaining-0946-f43aaf57,
lims,实验室信息管理 LIMS,LabKey Server,17,3/3,,退役金属加工厂地下水氯代烃监测质控、趋势判定与羽流复核,监测井水质QC样品,批次-样品-检验/QC记录(LIMS/MES),监测井采样与水质结果,,科学类、环境科学家,cn-all-remaining-0950-9dedf66d,
lims,实验室信息管理 LIMS,LabKey Server,18,3/3,,片剂稳定性统计复核与货架期建议,批次时间点结果行,批次-样品-检验/QC记录(LIMS/MES),稳定性检验明细（批次/时间点/项目结果行）,,药学专业人员,cn-all-remaining-1131-804a6ac8,
lims,实验室信息管理 LIMS,LabKey Server,19,3/3,,农产品农药残留与 EPA 容许量合规审计（USDA PDP 2023）,样品-检验结果-规格表,可检索档案库+详情页,农药残留检测与法规记录,USDA Pesticide Data Program,农业实验室 / 食品安全监管数据,cn-all-remaining-1256-543f9374,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,1,2/2,,构建 DOL 2024 加班薪资门槛撤销与技术修订生命周期审计,条文版本+生效日期+对比,可检索档案库+详情页,联邦公报规则/eCFR条文版本记录,Federal Register,劳动法规 / Federal R,cn-all-remaining-1166-f86d5a49,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,2,2/3,regulatory-registry,美国口服直接抗凝药成人说明书关键用药条件结构化复核,药品标签全文版本库,可检索档案库+详情页,药品说明书标签记录,DailyMed,行业研究、药学专业人员,cn-all-remaining-0850-f0bd0a8c,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,3,2/3,regulatory-registry,USITC 2025 汽车 Section 232 两阶段关税变更控制审计,税则条文树+版本变更,可检索档案库+详情页,USITC HTS关税查询系统,United States International Trade Commission (USITC),贸易合规 / 海关关税工程 / ,cn-all-remaining-1095-9bcec495,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,4,3/3,,OMB 2024 Uniform Guidance 生效日法规变更控制审计,eCFR原文点名,可检索档案库+详情页,联邦法规条文与修订记录,eCFR (Electronic Code of Federal Regulations),法律与合规 / 政府财政援助监管,cn-all-remaining-0636-316cb833,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,5,3/3,,IETF RFC 与 IANA HTTP 注册表引用谱系治理审计,"RFC全文+引用关系,近标准库",可检索档案库+详情页,HTTP状态码/RFC索引记录,IANA HTTP Status Code Registry,开放标准治理 / HTTP 协议,cn-all-remaining-1249-ce04e010,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,6,3/3,,旧工业遗存城市更新改造项目综合策划与方案论证,规范标准全文与政策通知,,住建部政策文件库/国家标准全文公开系统,,建筑设计,cn-all-remaining-0004-4cdb03e3,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,7,3/3,,国内与国际危险品运输规则协同分析,危险品法规与IMDG规则库,,国家法规数据库/IMDG规则门户,,物流运营,cn-all-remaining-0035-880f8bef,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,8,3/3,,服务小程序适老化无障碍验收,适老化标准法规检索库,工单/缺陷/客服/审批跟踪,国家标准/法规政策公开检索平台,,计算机软件测试员,cn-all-remaining-0044-cf1dd46c,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,9,3/3,,基于CPIC指南的药物基因组学个体化用药决策支持系统构建与验证,CPIC临床指南全文,可检索档案库+详情页,CPIC(Clinical Pharmacogenetics Implementation Consortium),Clinical Pharmacogenetics Implementation Consortium (CPIC),医疗卫生,cn-all-remaining-0226-3fc6271b,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,10,3/3,,服务小程序适老化无障碍验收,政策法规标准全文,可检索档案库+详情页,国务院政策文件库/全国标准信息公共服务平台,,计算机软件测试员,cn-all-remaining-0237-8fc39a86,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,11,3/3,,国内与国际危险品运输规则协同分析,IMDG法规全文库,可检索档案库+详情页,国家法律法规数据库/IMO IMDG规则数据库,,物流运营,cn-all-remaining-0240-6c615bee,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,12,3/3,,GB 38031-2025切换期动力电池安全要求与工程影响研究,GB标准切换版本对比,可检索档案库+详情页,国家标准全文公开系统(GB标准库),,行业研究、汽车与动力电池,cn-all-remaining-0706-2999104d,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,13,3/3,,建筑信息模型技术员职业制度、区域机会与培训产品研究,职业标准编码版本对比,可检索档案库+详情页,国家职业技能标准/智能建造试点城市名录门户,,商业和金融类、市场调查分析师（行,cn-all-remaining-0740-641a9a26,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,14,3/3,,构建 SPDX 3.21→3.26、OSI 与 Kubernetes v1.31 SBOM 许可迁移门禁,许可证清单+版本迁移,可检索档案库+详情页,SPDX License List,Software Package Data Exchange,软件供应链 / SBOM / 开,cn-all-remaining-1171-bc798e9b,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,15,3/3,,DISA RHEL 9 STIG 与 NIST OSCAL 安全控制治理审计,规则树+控制映射,可检索档案库+详情页,DISA Cyber Exchange,DISA (Defense Information Systems Agency),安全配置治理 / Linux 基,cn-all-remaining-1179-fcde4aaf,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,16,3/3,,AHRQ 患者安全指标 v2023—v2024 临床代码集谱系与发布影响审计,代码集版本谱系,可检索档案库+详情页,AHRQ Quality Indicators (QI) 软件下载页,AHRQ Patient Safety Indicators (PSI),医疗质量 / 临床代码集发布治理,cn-all-remaining-1184-7d57859b,
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,17,人工改判,dataset-repository,构建 Unicode 15.1 至 16.0 标识符安全迁移与同形碰撞审计产品,版本化属性数据集,可检索档案库+详情页,Unicode.org UCD 数据文件目录,Unicode Character Database,软件工程 / Unicode 标,cn-all-remaining-1169-9af1b22b,dataset-repository→law-standard-library：Unicode UCD 标准文本目录
law-standard-library,法规与标准全文库,eCFR / 国家标准全文公开系统,18,人工改判,regulatory-registry,DOE 与 Federal Register LNG 深水港申请生命周期及出口流量核验,许可文书含批准号状态史,可检索档案库+详情页,联邦公报LNG深水港许可文书记录,Maritime Administration (MARAD),能源行政法 / LNG 深水港授,cn-all-remaining-1266-830a170d,regulatory-registry→law-standard-library：联邦公报文书 + CFR
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,1,1/3,apm-observability / asset-maintenance,5G园区网络MR/路测/告警融合、覆盖容量与参数优化复核,小区MR告警趋势,设备/资产台账+维护记录,小区MR/告警/邻区记录,,工程类—通信工程师,cn-all-remaining-0442-86e060cb,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,2,2/3,scada-hmi,10 kV园区馈线分布式光伏承载力与改造方案校核,馈线台账+趋势叠加,时序监测点/日志事件记录,馈线设备/负荷曲线,,行业研究、电力系统工程师,cn-all-remaining-0705-ab3d6465,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,3,2/3,asset-maintenance,5G SA 同频邻区审计、切换参数优化与离线回放验证,小区参数+计数器趋势,设备/资产台账+维护记录,小区工程参数与邻区关系,,工程类、通信工程师,cn-all-remaining-0737-64725a3f,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,4,2/3,scada-hmi,消费电子工厂0.4kV配电系统电能质量、无功补偿与保护整定整改冻结复核,位号时序趋势+保护整定,时序监测点/日志事件记录,变压器/馈线电能质量监测点位记录,,工程类、电气工程师,cn-all-remaining-0934-444b3c56,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,5,3/3,,工业空压站能效审计、停机保压泄漏核算与联控节能改造校核,位号趋势+泄漏子表,时序监测点/日志事件记录,压缩机运行数据与泄漏/维护记录,,机械工程,cn-all-remaining-0395-459e966d,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,6,3/3,,工业园区微电网日前调度、N-1韧性与方案放行评估,母线线路测量趋势,时序监测点/日志事件记录,母线/线路测量与调度记录,,工程类、电力系统工程师,cn-all-remaining-0439-e36f8864,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,7,3/3,,三级医院既有综合楼近零能耗改造与绿色建筑三星预评估,楼宇小时能耗历史,时序监测点/日志事件记录,楼宇BMS小时能耗记录,,建筑、测绘与规划,cn-all-remaining-0440-a3ce5637,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,8,3/3,,工业园区微电网多时段潮流、储能调度与N-1保护配合复核,母线线路运行测量,时序监测点/日志事件记录,母线/线路运行测量记录,,工程类—电力系统工程师,cn-all-remaining-0441-8ac911fe,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,9,3/3,,PHE-204换热器性能衰减诊断与停机清洗窗口决策,位号趋势+测点偏差诊断,时序监测点/日志事件记录,DCS历史库测点趋势记录,,工程类、化工工程师（工艺工程师）,cn-all-remaining-0758-4e0bb5b1,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,10,3/3,,T-301甲醇回收精馏塔物料衡算校正与节能操作窗口优化,DCS位号历史+化验事件,时序监测点/日志事件记录,DCS历史数据/化验分析记录,,工程类、化工工程师,cn-all-remaining-0815-9624faf6,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,11,3/3,,5G NR园区路测KPI分析、切换根因定位与优化闭环,路测点位时序+告警关联,时序监测点/日志事件记录,路测采样点/小区KPI记录,,工程类、通信工程师,cn-all-remaining-0830-86a394d4,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,12,3/3,,工业物联网时序数据迟到事件重放、设备日指标与告警补算,位号时序+报警子表,时序监测点/日志事件记录,设备时序事件,,信息技术与AI、大数据工程技术人,cn-all-remaining-0909-121120de,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,13,3/3,,PW-01纯化水系统季度回顾底稿修复、异常证据链复核与QA评审材料输出,BMS水质趋势位号,时序监测点/日志事件记录,BMS水质趋势与消毒维护记录,,医疗卫生、制药工程、药企公用系统,cn-all-remaining-0956-fb447e98,
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,14,人工改判,dataset-repository,工业控制系统多变量时序异常检测 + 受影响过程根因定位,HAI GitHub基准数据集,数据集/资料仓库详情页,HAI Security Dataset GitHub仓库,HAI Security Dataset, 工业控制与功能安全,cn-all-remaining-0213-58019df6,dataset-repository→process-historian：HAI 工控时序
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,15,人工改判,gov-statistics-portal,CISO 2021Q3 净负荷爬坡与负荷预测偏差复核,EIA-930电网小时数据查询导出,时序监测点/日志事件记录,电网小时运行数据记录,EIA Form 930 (Hourly Electric Grid Monitor),行业研究、电力系统工程师,cn-all-remaining-0863-d6bf7ae0,gov-statistics-portal→process-historian：EIA-930 逐时电网序列
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,16,人工改判,gov-statistics-portal,德国电力负荷月度预测管道,"开放数据门户,纯查询下载",单表统计/观测数据下载门户,电网逐时负荷/发电记录,Open Power System Data,电力系统,cn-all-remaining-0072-1e08f36f,gov-statistics-portal→process-historian：OPSD 逐时负荷序列
process-historian,工厂位号历史库,AVEVA PI Vision / Ignition Historian,17,人工改判,gov-statistics-portal,希腊逐小时电力负荷预测管道,逐时负荷查询下载门户,单表统计/观测数据下载门户,逐小时电网负荷记录,Open Power System Data,电力,cn-all-remaining-0352-61295765,gov-statistics-portal→process-historian：OPSD 逐时负荷序列
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,1,2/2,,Sentinel-2 影像子区地表覆盖分类,Sentinel-2遥感影像产品,可检索档案库+详情页,Sentinel-2影像产品,Sentinel-2,科学类,cn-all-remaining-0183-f366890f,
geospatial-portal,地理与遥感数据门户,USGS EarthExplorer / Geofabrik,2,2/3,back-office-ledger,滨河东片区保障性租赁住房地块筛选与15分钟生活圈补短板评估,地块坐标空间数据分析,企业运营台账(CRM/合同/采购/项目/库存),地块权属台账/建筑/租赁样本,"EPSG:4547 (CGCS2000 3-Degree Gauss-Kruger Zone, CM 114°E)",房地产、租赁与物业、城市规划师,cn-all-remaining-0822-6a5c9899,
