形态族,族内序号,一致度,任务名,记录类型,操作,判断依据,已知来源,行业,custom_id,我的判断(留空待填)
企业运营台账(CRM/合同/采购/项目/库存),20,3/3,华东大区半年度销售经营复盘、Q3预测与目标拆解,开票明细/商机记录,筛选+导出+跨表关联,ERP/CRM开票与商机记录批量导出,ERP (Enterprise Resource Planning System),企业经营与战略决策、销售主管,cn-all-remaining-0780-37b43f72,
企业运营台账(CRM/合同/采购/项目/库存),21,3/3,长三角新能源叉车短租业务城市进入优先级与三年经营测算,销售线索/竞品报价记录,筛选+导出+跨表关联,CRM线索与统计门户式城市指标记录,,企业经营与战略决策、行业研究员,cn-all-remaining-0827-a07867a4,
企业运营台账(CRM/合同/采购/项目/库存),22,3/3,2026年Q4项目组合重排与关键资源调度决策,项目组合台账（在途项目）,筛选+导出+跨表关联,项目台账是PPM系统里按字段筛选的项目记录,,企业经营与战略决策、项目经理,cn-all-remaining-0841-33f3a229,
企业运营台账(CRM/合同/采购/项目/库存),23,3/3,2025Q4华东区销售预测、目标拆解与重点商机资源配置,CRM商机记录,搜索+筛选+导出,CRM商机快照按状态/日期/负责人筛选导出,,企业经营与战略决策、销售主管,cn-all-remaining-0856-1dd34f40,
企业运营台账(CRM/合同/采购/项目/库存),24,3/3,重点企业客户续约风险诊断与90天挽回方案,客户合同/工单/开票记录,筛选+导出+跨表关联,CRM合同台账与服务工单可筛选导出,,企业经营与战略决策、企业服务专员,cn-all-remaining-0871-83e54e58,
企业运营台账(CRM/合同/采购/项目/库存),25,3/3,华东区Q3销售目标分解、客户归属调整与重点商机治理,CRM商机记录,搜索+筛选+排序+导出+跨表关联,CRM商机快照，按阶段/销售可筛选,,企业经营与战略决策、销售主管,cn-all-remaining-0879-9c1c7e3e,
企业运营台账(CRM/合同/采购/项目/库存),26,3/3,Q3多项目组合资源冲突诊断与交付重排,项目/风险台账记录,筛选+排序+导出+跨表关联,项目台账、RAID依赖类PPM工具记录,,企业经营与战略决策、项目管理,cn-all-remaining-0881-7e2226c0,
企业运营台账(CRM/合同/采购/项目/库存),27,3/3,办公楼机电安装工程第6期进度款审核、变更签证与超付风险复核,计量与变更签证记录,筛选+跨表关联+导出,清单编号/日期/签字状态的造价管理记录,,建筑、测绘与规划、工程造价人员,cn-all-remaining-0911-57247e16,
企业运营台账(CRM/合同/采购/项目/库存),28,3/3,薪资个税计算复核与发布封板审计,薪资记录,筛选+导出+跨表关联,"HR系统薪资台账记录,批量同构可筛选导出",,薪酬福利与税务工程,cn-all-remaining-0968-a554494c,
企业运营台账(CRM/合同/采购/项目/库存),29,3/3,三级医院药库效期与库存周转专项复盘、跨药房调拨及采购调整,药库库存/出库/盘点记录,搜索+筛选+导出+跨表关联,"HIS库存出库盘点记录,可查筛导出",HIS,医药卫生、药学专业人员（医院药库,cn-all-remaining-1119-5b062242,
主体档案+关联事件时间线,1,1/3,末端配送路线复核与数据质量审计委托,配送路线（计划vs实际）,筛选+详情展开+导出+跨表关联,含索引/时间窗字段，像路线管理系统导出记录,,物流运营,cn-all-remaining-1206-037de182,
主体档案+关联事件时间线,2,2/3,食品饮料行业月度研判、公司估值与投资观点输出任务,上市公司财务与股价数据记录,搜索+筛选+导出+跨表关联,财务股价数据从行情终端按公司指标查询导出,,证券投资研究、二级市场行业分析,cn-all-remaining-0007-05d253cc,
主体档案+关联事件时间线,3,2/3,6月会员续费下滑复盘与分层召回名单,会员到期/支付/使用/触达记录,筛选+导出+跨表关联,会员系统到期底表、支付尝试等多张可筛选记录表,,产品运营,cn-all-remaining-0220-bb326e7d,
主体档案+关联事件时间线,4,2/3,腹腔镜胆囊切除术围术期质控规则回归、异常定位与月度质控放行核验,围术期病例台账记录,筛选+导出,医院病案/质控系统病例列表，可按病例检索导出,,医疗卫生、外科医师、围术期质量控,cn-all-remaining-0400-2d892a5f,
主体档案+关联事件时间线,5,2/3,Hurricane Helene 跨 NHC、NOAA 与 FEMA 公共援助审计,灾害事件、气象记录与公共援助拨款记录,搜索+筛选+导出+跨表关联,标注数据门户，FEMA/NOAA提供可查询数据库,National Hurricane Center (NHC),应急管理数据工程 / 热带气旋与,cn-all-remaining-0631-ea4b7723,
主体档案+关联事件时间线,6,2/3,盐酸二甲双胍片年度产品质量回顾及变更后趋势评估,批次/偏差/投诉/CAPA记录,筛选+详情展开+导出+跨表关联,QMS批次放行、偏差、投诉、CAPA为可查询台账记录,,医疗卫生、药品生产质量管理（质量,cn-all-remaining-0806-4b92c004,
主体档案+关联事件时间线,7,2/3,CDS升级验证QA独立复核与上线放行判定,URS/OQ/偏差/审计追踪/权限记录,搜索+筛选+导出+跨表关联,验证QA数据，类eQMS多记录系统,,医疗卫生、药品生产质量管理（验证,cn-all-remaining-0836-8be6837c,
主体档案+关联事件时间线,8,2/3,    产业园区企业诉求、政策申报与重点企业服务闭环复盘    ,企业主数据/工单/走访/申报记录,搜索+筛选+导出+跨表关联,"企业服务系统多张同构记录表,可按字段筛选导出",,    企业经营与战略决策   ,cn-all-remaining-0965-3d040bba,
主体档案+关联事件时间线,9,2/3,银行贷款利息核验对账与发布封板审计,贷款记录,筛选+导出+跨表关联,"信贷系统贷款台账记录,批量同构可筛选",,信贷对账与自动化测试,cn-all-remaining-0971-9cb42684,
主体档案+关联事件时间线,10,2/3,构建美联储 2024 压力测试与资本要求修订调和审计,银行资本要求与压力测试记录,搜索+筛选+导出+跨表关联,美联储按机构ID发布的压力测试结果表,Federal Reserve,银行金融监管 / 压力测试 / ,cn-all-remaining-1164-4f0e142d,
主体档案+关联事件时间线,11,2/3,NHTSA FARS tri-state crash-vehicle-person denominator reconciliation,车祸/车辆/人员记录,搜索+筛选+跨表关联+导出,FARS按州年份查询车祸人员车辆统计数据,NHTSA Fatality Analysis Reporting System (FARS),Road safety and ,cn-all-remaining-1219-f163b46b,
主体档案+关联事件时间线,12,3/3,构建 SEC Inline XBRL 申报审计与 Company Facts 对账数据管道,SEC XBRL申报facts/Company Facts记录,搜索+筛选+跨表关联+导出,SEC EDGAR数据门户可按公司/申报号查询XBRL facts与Company Facts,U.S. Securities and Exchange Commission (SEC),金融科技 / 资本市场数据工程 ,cn-all-remaining-0204-96586aa4,
主体档案+关联事件时间线,13,3/3,CSR定稿前交叉设计BE统计独立复核,受试者给药与浓度记录,筛选+导出+跨表关联,EDC系统受试者/给药/浓度多记录表可查询导出,,药学专业人员,cn-all-remaining-0222-930d164f,
主体档案+关联事件时间线,14,3/3,商业车险逐赔案准备金评估、随机分布与资本充足性自动化闭环,赔案主数据与交易记录,筛选+详情展开+导出+跨表关联,逐赔案记录、交易、快照可筛选导出,,金融与证券、精算师,cn-all-remaining-0435-cb32ec24,
主体档案+关联事件时间线,15,3/3,企业财产险多币种赔案准备金、再保险分摊与资本压力测试复核,多币种赔案记录,筛选+详情展开+导出+跨表关联,赔案级多币种交易表可筛选导出,,金融与证券、精算师,cn-all-remaining-0437-3f3825f9,
主体档案+关联事件时间线,16,3/3,CT-HTN-301中心C0201监查前多源数据清理、偏离识别与闭环,受试者访视/样本/质疑记录,搜索+筛选+详情展开+导出,IRT/EDC临床试验多受试者可查记录,IRT,医疗卫生、临床协调员,cn-all-remaining-0696-91bc054f,
主体档案+关联事件时间线,17,3/3,III期临床试验中期数据库冻结前多源数据清理、SAE/实验室对账与中心行动闭环,受试者/访视/SAE记录,搜索+筛选+详情展开+跨表关联+导出,EDC临床数据库为典型多记录Web系统,,医疗卫生、制药企业临床运营部临床,cn-all-remaining-0708-9b5c804a,
主体档案+关联事件时间线,18,3/3,结直肠外科月度手术质量复盘：并发症分级、吻合口漏与数据核验,手术病例质控记录,筛选+跨表关联+导出,多系统拼接的28例病例记录,,医疗卫生、外科医师（普通外科/胃,cn-all-remaining-0792-a46854a7,
主体档案+关联事件时间线,19,3/3,住院抗菌药物医嘱专项点评与药师干预清单生成,患者医嘱与检验记录,筛选+跨表关联+导出,明确来源HIS/LIS等医疗信息系统,HIS,医疗卫生、药学专业人员,cn-all-remaining-0802-f5452942,
主体档案+关联事件时间线,20,3/3,企业职工年度体检数据质控、风险分层与90天随访排程,员工体检记录,筛选+导出+跨表关联,体检机构导出的多字段员工记录表,,医疗健康、健康管理服务人员、健康,cn-all-remaining-0823-2981b536,
主体档案+关联事件时间线,21,3/3,B2B SaaS试用转付费漏斗诊断与Q4产品运营策略排期,试用账号/行为事件/订阅/工单记录,搜索+筛选+导出+跨表关联,产品分析与CRM数据，类SaaS后台,,企业经营与战略决策、产品运营,cn-all-remaining-0837-ac7b8f92,
主体档案+关联事件时间线,22,3/3,信用债组合日终风险复核与低换手约束修复,债券持仓/主数据记录,筛选+导出+跨表关联,多台账持仓与信用事件可筛选导出关联,,金融与证券、证券投资专业人员,cn-all-remaining-0858-a77c2bc1,
主体档案+关联事件时间线,23,3/3,保险理赔核验对账与发布封板审计,理赔记录,筛选+导出+跨表关联,"理赔系统赔案记录,批量同构字段可筛选",,理赔精算与自动化测试,cn-all-remaining-0970-194c0e46,
主体档案+关联事件时间线,24,3/3,构建 FEC 2024 联邦参议院委员会资金流、修订血缘与限额筛查审计产品,候选人/委员会/交易记录,搜索+筛选+详情展开+导出+跨表关联,FEC可按候选人/委员会/选举查询交易记录,Federal Election Commission,公共政策与监管 / 美国竞选财务,cn-all-remaining-1090-c33ca50d,
主体档案+关联事件时间线,25,3/3,券商两融重点账户日终担保品折算、压力测试与追保处置复核,两融账户持仓/负债记录,搜索+筛选+跨表关联+导出,柜台系统账户持仓等后台可查询记录快照,,金融科技师、金融与证券,cn-all-remaining-1103-825a4158,
主体档案+关联事件时间线,26,3/3,商业车险逐赔案准备金算法测试夹具、随机分布与资本门限验证,商业车险赔案与交易记录,筛选+详情展开+导出+跨表关联,逐赔案交易与准备金快照类似理赔系统记录表,,金融与证券、精算师,cn-all-remaining-1137-bfbce4b9,
主体档案+关联事件时间线,27,3/3,伊利诺伊饮用水违规与执法生命周期审计（EPA SDWIS）,饮用水系统违规执法记录,搜索+筛选+详情展开+导出+跨表关联,SDWIS是可查询的违规执法数据库,EPA SDWIS (Safe Drinking Water Information System),饮用水合规 / 监管执法数据审计,cn-all-remaining-1257-2f561d5d,
招聘/公告类列表,1,3/3,福建—重庆公立医院内科医师招聘结构与配置研究,医院内科招聘岗位公告,搜索+筛选+导出,公开招聘网站岗位样本与报名数据,,医疗卫生、行业研究（内科医师人力,cn-all-remaining-0323-3f584fd1,
招聘/公告类列表,2,3/3,游戏测试工程师公开岗位样本清洗、能力结构分析与招聘门槛校核,公开招聘岗位页,搜索+筛选+详情展开+导出,企业官方/招聘平台岗位列表，含岗位字段可筛选查看,,行业研究、游戏行业人才与岗位研究,cn-all-remaining-0397-64a67ace,
招聘/公告类列表,3,3/3,长三角城市更新建筑设计市场机会评估与重点客户研究,招采/政府采购项目机会公告,搜索+筛选+翻页+详情展开+导出,来自交易/采购平台的公告列表，可搜索筛选导出,,建筑设计、行业研究,cn-all-remaining-0406-6b719b00,
招聘/公告类列表,4,3/3,云计算工程技术人员招聘样本清洗、职业任务映射与人才画像复现审计,云计算岗位,搜索+筛选+导出,公开招聘网站岗位样本,,行业研究、数字经济人才研究,cn-all-remaining-0411-51fd07e5,
招聘/公告类列表,5,3/3,大数据工程技术人员岗位需求复盘与2027课程调整建议,大数据工程岗位,搜索+筛选+导出,招聘渠道导出的岗位列表,,行业研究、大数据工程技术人员,cn-all-remaining-0412-a20676d9,
招聘/公告类列表,6,3/3,中国工业设计师人才需求与设计服务机会研究,工业设计岗位与设计中心名录,搜索+筛选+导出,岗位样本及机构名录，均为可查目录,,行业研究（工业设计与人才市场）,cn-all-remaining-0413-32af7365,
招聘/公告类列表,7,3/3,图形算法工程师人才供需、技术栈与团队建设研究,图形算法岗位,搜索+筛选+导出,招聘岗位样本，字段可筛可导,,计算机软件、行业研究（图形算法工,cn-all-remaining-0415-4696e896,
招聘/公告类列表,8,3/3,上海绿色建筑标识服务市场与绿色建筑工程师产能研究,绿色建筑标识项目,搜索+筛选+翻页+导出,住建部门公开标识项目公示列表,,行业研究、绿色建筑工程,cn-all-remaining-0679-f7d822c2,
招聘/公告类列表,9,3/3,船舶与海洋工程师岗位需求景气度与能力结构研究,招聘岗位记录,搜索+筛选+导出,多招聘来源岗位明细，类招聘网站列表,,行业研究、船舶与海洋工程师,cn-all-remaining-0680-0d7a9db2,
招聘/公告类列表,10,3/3,智能制造工程师招聘需求、薪酬与能力栈行业研究,招聘岗位样本记录,搜索+筛选+导出,招聘渠道抓取的岗位标题薪酬记录,,行业研究、智能制造人才市场研究,cn-all-remaining-0688-8dfc0c75,
招聘/公告类列表,11,3/3,游戏技术美术（TA）人才市场、能力矩阵与团队配置研究,招聘岗位摘录记录,搜索+筛选+导出,多家公司岗位摘录，逐条编码可筛,,商业类、行业研究分析师（游戏研发,cn-all-remaining-0689-df5209ab,
招聘/公告类列表,12,3/3,长三角光学工程师人才供需与岗位能力画像研究,招聘岗位/候选人记录,搜索+筛选+导出,招聘网站岗位与候选人列表按城市方向筛选,,行业研究、光学工程师,cn-all-remaining-0767-325cc9a3,
招聘/公告类列表,13,3/3,2026Q3美国半导体工艺工程师岗位需求、技能结构与薪酬基准研究,招聘岗位/薪酬记录,搜索+筛选+导出,招聘网站岗位与薪酬库离线快照,,行业研究,cn-all-remaining-0777-7fadbfc2,
招聘/公告类列表,14,3/3,2024Q4—2026Q2中国汽车工程师岗位需求、技能结构与人才优先级研究,招聘岗位快照,搜索+筛选+导出,直接对应招聘网站岗位列表,,汽车类、行业研究,cn-all-remaining-0824-0de4494b,
招聘/公告类列表,15,3/3,工程造价人员供需结构、岗位能力与薪酬区间专题研究,招聘岗位,搜索+筛选+导出,公开招聘渠道岗位样本附来源URL,,行业研究、建筑业专业服务研究,cn-all-remaining-0870-cba7c850,
招聘/公告类列表,16,3/3,装配式建筑施工员岗位需求、技能标准与培训差距研究,招聘岗位,搜索+筛选+导出,跨页面重复的公开招聘岗位原始记录,,行业研究、建筑业产业工人研究,cn-all-remaining-0874-e4cb0cfa,
招聘/公告类列表,17,3/3,C++游戏开发工程师岗位需求、薪酬与能力结构研究,招聘岗位,搜索+筛选+详情展开+导出,岗位快照，可按公司/城市/岗位名筛选去重,,行业研究、软件和信息技术服务业、,cn-all-remaining-0877-7a1ba25e,
招聘/公告类列表,18,3/3,游戏AI开发工程师岗位需求、薪酬与能力结构研究,招聘岗位,搜索+筛选+详情展开+导出,44条招聘页面快照，岗位记录表,,行业研究、软件和信息技术服务业、,cn-all-remaining-0883-f91d65a1,
招聘/公告类列表,19,3/3,游戏技术美术（TA）人才需求、能力缺口与团队编制研究,招聘岗位,搜索+筛选+翻页+导出,冻结招聘样本源自招聘网站岗位列表,,游戏与互动内容、行业研究（游戏技,cn-all-remaining-0937-6374de20,
招聘/公告类列表,20,3/3,六城市平面设计师岗位需求、薪酬与技能结构行业研究,招聘网站岗位快照,搜索+筛选+详情展开+导出,招聘页面岗位记录，字段可筛选,,设计、文创与媒体-平面设计师,cn-all-remaining-0958-a386a245,
招聘/公告类列表,21,3/3,工程项目经理公开招聘样本清洗、任职门槛与能力模型研究,公开招聘公告样本,搜索+筛选+详情展开+导出,招聘公告逐条岗位记录可筛选,,行业研究、工程建设项目管理,cn-all-remaining-0960-fd36102b,
招聘/公告类列表,22,3/3,生物信息学工程师人才供需、技能栈与招聘策略研究,招聘岗位,搜索+筛选+导出,岗位、公司、薪资、城市等招聘网站岗位列表,,行业研究（生物信息学工程师人才市,cn-all-remaining-1101-68974701,
招聘/公告类列表,23,3/3,药物研发科学家人才供需、技能结构与团队配置研究,招聘岗位与候选人档案,搜索+筛选+导出,岗位、候选人、面试记录形态同招聘网站/ATS列表,,行业研究（药物研发科学家人才与研,cn-all-remaining-1104-be743d3f,
招聘/公告类列表,24,3/3,平面设计师人才需求、技能结构与品牌视觉服务机会研究,招聘岗位/客户线索记录,搜索+筛选+导出,"岗位与客户线索列表,可筛选导出",,行业研究（平面设计与创意人才市场,cn-all-remaining-1128-a9104579,
招聘/公告类列表,25,3/3,智慧城市工程技术人才需求、技能结构与智慧城市项目机会研究,智慧城市岗位与项目机会记录,搜索+筛选+翻页+详情展开+导出,岗位与项目机会台账为同构记录表，可按字段筛选去重,,行业研究（智慧城市与数字政府工程,cn-all-remaining-1129-a5a00495,
招聘/公告类列表,26,3/3,Unity开发工程师人才供需、技术栈与团队配置研究,Unity岗位记录,搜索+筛选+翻页+详情展开+导出,292条岗位记录含城市薪资技术栈字段，可筛选,,计算机软件、行业研究（Unity,cn-all-remaining-1130-de532a93,
订单/交易/支付/退款/物流流水,1,1/3,多工厂冷链医药供应网络S&OP、运输排程与韧性发布准入,预测/订单/库存/生产/运输事件记录,筛选+跨表关联+导出,题面明确称多套系统导出的事件与批次记录,,企业经营与战略决策、物流运营,cn-all-remaining-0670-306d841f,
订单/交易/支付/退款/物流流水,2,2/3,核心部件停供下的多仓售后备件供应恢复计划,订单/库存/采购单/调拨记录,搜索+筛选+跨表关联+导出,ERP/WMS/TMS按单号物料查询导出的记录,,供应链管理、售后备件计划师,cn-all-remaining-0761-75887f16,
订单/交易/支付/退款/物流流水,3,2/3,网约车计费核验与发布封板审计,网约车行程记录,搜索+筛选+翻页+详情展开+导出,平台订单列表，同构可按司机/时段筛选导出,,网约车 / 出行,cn-all-remaining-0976-5aa6f01c,
订单/交易/支付/退款/物流流水,4,3/3,戴尔笔记本PMP广告投放效果复盘与优化分析,广告投放曝光点击明细记录,筛选+导出+跨表关联,投放报表按日期媒体定向素材筛选导出,,广告优化,cn-all-remaining-0005-c20d1c2e,
订单/交易/支付/退款/物流流水,5,3/3,匿名化产品级贸易面板上的出口管制政策评估：从缺陷原始数据到可复现的因果推断交付件,产品-流向-年贸易流水,筛选+导出+跨表关联,海关抽取的产品×年×流向面板数据,,经济学 / 国际贸易实证研究（计,cn-all-remaining-0019-034c6ce9,
订单/交易/支付/退款/物流流水,6,3/3,复现并审计美国交通部 2025 年 1 月航空准点率监管数据产品,航班准点率记录,搜索+筛选+导出+跨表关联,"BTS数据门户逐航班记录,可按承运人/日期查询导出",Bureau of Transportation Statistics (BTS),航空运营 / 监管数据工程 / ,cn-all-remaining-0296-45de6b63,
订单/交易/支付/退款/物流流水,7,3/3,产品共购图链接预测管道,逐条交易流水/订单记录,筛选+导出+跨表关联,同一发票下多SKU，形如订单列表可筛可导出,UCI Online Retail, 商品关联分析,cn-all-remaining-0351-c0f3eb29,
订单/交易/支付/退款/物流流水,8,3/3,多渠道订单ETL清洗、资金对账与经营日报复核,多渠道订单/支付/退款记录,筛选+导出+跨表关联,官网/App/小程序订单导出表，类似订单列表记录,WeChat Mini Program,信息技术与AI、大数据工程技术人,cn-all-remaining-0408-a8f2c013,
订单/交易/支付/退款/物流流水,9,3/3,医药冷链多仓订单履约、FEFO库存分配与N-1韧性优化,订单与批次库存,筛选+导出+跨表关联,订单批次库存记录，类仓储订单系统,,企业经营与战略决策、物流运营,cn-all-remaining-0420-dc253cc1,
订单/交易/支付/退款/物流流水,10,3/3,跨境电商多源CDC湖仓重放、SCD2与财务对账发布准入,订单/客户/支付/退款记录,搜索+筛选+导出+跨表关联,订单客户支付CDC记录可查可导出,,信息技术与AI、大数据工程技术人,cn-all-remaining-0438-8bd2d962,
订单/交易/支付/退款/物流流水,11,3/3,跨境银行卡支付生命周期回放、清算净额与流动性修复计划复核,跨境支付事件/交易记录,筛选+详情展开+导出,支付平台事件记录，含引用链和状态字段,,金融与证券—金融科技师,cn-all-remaining-0669-c5296d6d,
订单/交易/支付/退款/物流流水,12,3/3,文创品牌双11经营、投放与素材表现联合复盘,订单/退款/广告投放记录,筛选+导出+跨表关联,电商后台订单与广告平台日报记录,,设计、文创与媒体、电子商务数据分,cn-all-remaining-0695-73fb8b8c,
订单/交易/支付/退款/物流流水,13,3/3,华东仓配网络重构与2026旺季产能采购决策,发运明细记录,筛选+导出+跨表关联,实际发运单据明细，可筛选导出,,企业经营与战略决策、物流运营管理,cn-all-remaining-0789-19e1e516,
订单/交易/支付/退款/物流流水,14,3/3,即时零售订单湖仓增量入仓、迟到数据回补与经营宽表重建,订单/支付/退款/配送事件记录,筛选+跨表关联+导出,多表交易事件记录，需关联去重,,信息技术与AI、大数据工程技术人,cn-all-remaining-0798-e29ecb95,
订单/交易/支付/退款/物流流水,15,3/3,证券交易监测规则季度回测、阈值校准与日终预警台账重建,委托/成交/持仓/复核记录,搜索+筛选+导出+跨表关联,逐笔委托快照、持仓、客户档案为交易监测系统可筛记录,,金融与证券、金融科技师,cn-all-remaining-0805-54b374d4,
订单/交易/支付/退款/物流流水,16,3/3,场外基金交易日终三方对账与异常工单生成,内部订单/TA确认/支付流水记录,搜索+筛选+跨表关联+导出,订单、TA回执、支付流水为交易结算系统可查记录,,金融与证券、金融科技师,cn-all-remaining-0814-762c2157,
订单/交易/支付/退款/物流流水,17,3/3,    原创文创品牌 Q2 经营复盘与 618 投放预算重分配    ,订单/退款/流量投放记录,搜索+筛选+导出+跨表关联,多平台商家后台订单可搜索筛选导出,Tmall,    设计、文创与媒体、电子商,cn-all-remaining-0862-62ba3ff3,
订单/交易/支付/退款/物流流水,18,3/3,华东区域三仓分拨与承运商份额调整决策,逐票订单/承运商报价,筛选+导出+跨表关联,TMS逐票明细与承运商报价可查询导出,,企业经营与战略决策（物流运营）,cn-all-remaining-0868-8fb1b76d,
订单/交易/支付/退款/物流流水,19,3/3,2026Q4华东区域干线招标定标、运力分配与旺季保供校核,承运商报价/线路履约记录,筛选+导出+跨表关联,报价矩阵与逐周履约可查询导出核对,,企业经营与战略决策、物流运营,cn-all-remaining-0875-4793042e,
订单/交易/支付/退款/物流流水,20,3/3,文创电商 618 多平台经营复盘、订单级素材归因与预算重分配,订单/退款/广告投放记录,搜索+筛选+导出+跨表关联,订单中心/售后/投放后台三套明细记录，可查可导出,Tmall,设计、文创与媒体、电子商务数据分,cn-all-remaining-0930-3befd0d2,
订单/交易/支付/退款/物流流水,21,3/3,跨境物流运费结算对账与发布封板复核,发货结算记录,筛选+导出+跨表关联,"物流系统发货订单结算记录,批量同构可筛选",,跨境电商物流,cn-all-remaining-0966-56d245f7,
订单/交易/支付/退款/物流流水,22,3/3,电信话单(CDR)批价对账与发布封板复核,话单记录,筛选+导出+跨表关联,"计费系统话单记录,批量同构字段可筛选导出",, 计费结算工程,cn-all-remaining-0967-40ec7019,
订单/交易/支付/退款/物流流水,23,3/3,电力账单核验对账与发布封板审计,用电账单记录,筛选+导出+跨表关联,"电网计费系统用电账单记录,批量同构可筛选",,计费与电价工程,cn-all-remaining-0969-6df0820b,
订单/交易/支付/退款/物流流水,24,3/3,跨境电商进口税费核验对账与发布封板审计,跨境电商订单记录,筛选+导出+跨表关联,"跨境电商订单税费记录,批量同构可筛选",, 海关与税务合规,cn-all-remaining-0972-58036ef4,
设备/资产台账+维护记录,1,1/3,5G园区网络MR/路测/告警融合、覆盖容量与参数优化复核,小区MR/告警/邻区记录,筛选+详情展开+导出+跨表关联,小区级KPI告警表可筛选导出,,工程类—通信工程师,cn-all-remaining-0442-86e060cb,
设备/资产台账+维护记录,2,2/3,雨水管道增容改造设计与工程费优化,雨水管网检查井/管段台账记录,搜索+筛选+详情展开+导出,"管段逐行台账,含井号/高程/管径/流量等可筛字段",,建筑、测绘与规划,cn-all-remaining-0457-b003c365,
设备/资产台账+维护记录,3,2/3,构建 EPA GHGRP California 2023 设施排放跨源审计产品,设施-子部-气体排放明细,筛选+导出+跨表关联,EPA GHGRP数据门户可按州/年份/子部查询下载设施记录,EPA (U.S. Environmental Protection Agency) GHGRP,环境合规 / 温室气体申报数据工,cn-all-remaining-0515-6253a2c7,
设备/资产台账+维护记录,4,2/3,构建 BSEE 2024 海上设施事故、调查与检查执法连续性审计,海上设施事故/调查/检查/INC执法记录,搜索+筛选+跨表关联+导出,BSEE事故/检查/执法为可查询合规记录库,Bureau of Safety and Environmental Enforcement (BSEE),能源与海上安全监管 / 法规数据,cn-all-remaining-0650-3d91eb5e,
设备/资产台账+维护记录,5,2/3,保障性租赁住房多源运营风险排查与物业整改闭环,房源/租约/门禁/水电/工单/巡检记录,搜索+筛选+跨表关联+导出,多个运营系统的房源合同门禁工单台账记录,,房地产、租赁与物业、智慧城市管理,cn-all-remaining-0808-c3e94902,
设备/资产台账+维护记录,6,2/3,2024—2025 新房交付查验咨询服务质量、缺陷结构与报价研究,房源问题/复验/报价记录,筛选+导出+跨表关联,带记录编号的问题台账与报价样本可查询,,行业研究、房屋查验咨询服务,cn-all-remaining-0872-cbef5357,
设备/资产台账+维护记录,7,2/3,NRC 2024 年 5 月核电机组事件通知、监管时限与运行状态联动审计,事件通知与机组运行状态记录,搜索+筛选+详情展开+跨表关联,NRC按日期/机组查询事件与运行状态,Nuclear Regulatory Commission (NRC),核能监管 / 核电运行监督 / ,cn-all-remaining-1092-7a4f421f,
设备/资产台账+维护记录,8,2/3,FHWA Delaware Bridge Element Condition Reconciliation,NBI桥梁与构件状态记录,搜索+筛选+导出+跨表关联,FHWA桥梁清单为按州/桥ID可查数据门户,Federal Highway Administration,交通基础设施 / 桥梁资产管理 ,cn-all-remaining-1161-7adde7ff,
设备/资产台账+维护记录,9,3/3,构建 MTA 地铁无障碍资产与站点运维审计数据产品,地铁站点复合体/出入口/电梯扶梯资产及可用率记录,搜索+筛选+导出+跨表关联,"MTA开放数据门户,资产可筛选导出",Metropolitan Transportation Authority (MTA),公共交通 / 资产数据工程 / ,cn-all-remaining-0241-a840346d,
设备/资产台账+维护记录,10,3/3,服务器列表起始端口异步展示：缓存与源值一致性核验,服务器列表(含起始端口列),筛选+翻页+详情展开,"运维平台服务器列表,异步列展示典型UI",,运维平台,cn-all-remaining-0616-04e64d59,
设备/资产台账+维护记录,11,3/3,构建 EIA Texas 2024 发电机生命周期与运营对账审计产品,发电机资产记录,搜索+筛选+跨表关联+导出,EIA统计门户，可按年份/州查询发电机记录,EIA Form 860,能源监管 / 电力资产与运营数据,cn-all-remaining-0638-0c7751f3,
设备/资产台账+维护记录,12,3/3,构建 EIA-EPA 2023 发电机发电量重建与 eGRID 跨机构审计数据产品,发电机与发电量记录,搜索+筛选+跨表关联+导出,EIA/eGRID统计门户，发电机记录可查询下载,EIA Form 860,数据工程 / 能源监管数据 / ,cn-all-remaining-0639-858c15f4,
设备/资产台账+维护记录,13,3/3,构建纽约州活动桥法规运营日历与联邦—州资产对账数据产品,活动桥资产记录,搜索+筛选+跨表关联+导出,NBI/州桥梁清单为可查询的资产记录,33 CFR Part 117,交通基础设施 / 海事运营合规 ,cn-all-remaining-0643-75f76d95,
设备/资产台账+维护记录,14,3/3,构建 FRA Cook County 道口生命周期、事故时点与 ENS 监管审计数据产品,铁路道口清单与事故记录,搜索+筛选+详情展开+跨表关联+导出,FRA Form71道口清单与Form57事故可查询导出,Federal Railroad Administration,数据科学,cn-all-remaining-0651-88bde7d0,
设备/资产台账+维护记录,15,3/3,零售订单平台跨可用区容灾架构评审与迁移规划,组件资产与依赖/事故记录,筛选+导出+跨表关联,类CMDB资产清单与事故工单记录,,信息技术与AI、数字技术架构师,cn-all-remaining-0676-ae727883,
设备/资产台账+维护记录,16,3/3,多云身份权限漂移、攻击路径与零信任发布准入评估,IAM绑定/资源清单/审计事件,筛选+详情展开+跨表关联+导出,身份权限、资源清单为云控制台可查记录,,信息技术与AI—信息安全测试员,cn-all-remaining-0697-38acd0ca,
设备/资产台账+维护记录,17,3/3,5G SA 同频邻区审计、切换参数优化与离线回放验证,小区工程参数与邻区关系,筛选+导出+跨表关联,OSS导出的小区/邻区/KPI批量同构记录表,,工程类、通信工程师,cn-all-remaining-0737-64725a3f,
